|1. some-basic-concepts-of-chemistry| Spaces: 1
|10. solutions| Spaces: 1
|11. electrochemistry| Spaces: 1
|12. chemical-kinetics| Spaces: 1
|13. organic-chemistry-some-basic-principles-and-techniques| Spaces: 1
|14. hydrocarbons| Spaces: 1
|15.haloalkanes-and-haloarenes| Spaces: 0
|16. alcohols-phenols-and-ethers| Spaces: 1
|17. aldehydes-ketones-and-carboxylic-acids| Spaces: 1
|18. organic-compounds-containing-nitrogen| Spaces: 1
|19. biomolecules| Spaces: 1
|2. structure-of-the-atom| Spaces: 1
|3. classification-of-elements-and-periodicity-in-properties| Spaces: 1
|4. chemical-bonding-and-molecular-structure| Spaces: 1
|5. d-and-f-block-elements| Spaces: 1
|6. coordination-compounds| Spaces: 1
|7.thermodynamics| Spaces: 0
|8. equilibrium| Spaces: 1
|9. redox-reactions| Spaces: 1
